 ,Holding Company,Ticker,Start Date,End Date,Permco,gvkey
"ABN AMRO BANK, N.V., NY BR",BAC NORTH AMERICA HOLDING COMPANY ,,9/29/98,9/15/06,31989,15504
AUBREY G. LANSTON & CO.,"INDUSTRIAL BANK OF JAPAN, LIMITED",8302 (Japan),5/19/60,4/17/00,,15685
"BA SECURITIES, INC.",Bank of America Corporation,BAC (NYSE),4/18/94,9/30/97,437,7647
BANC OF AMERICA SECURITIES LLC,Bank of America Corporation,BAC (NYSE),5/17/99,11/1/10,3151,7647
"BANC ONE CAPITAL MARKETS, INC",JPMorgan Chase & Co. (Acquired by JPMorgan Chase),JPM (NYSE),4/1/99,8/1/04,20436,2968
BANCAMERICA ROBERTSON STEPHEN,BANKBOSTON CORP,BKB.2,10/1/97,9/30/98,20264,2014
BANK OF AMERICA NT & SA,Bank of America Corporation,BAC (NYSE),11/17/71,4/15/94,437,7647
"BANK OF NOVA SCOTIA, NEW YORK AGENCY",BANK OF NOVA SCOTIA,BNS (Toronto),10/4/11,Current,43264,15582
BANKERS TRUST,Bankers Trust New York Corporation,,5/19/60,7/7/89,20266,2029
BARCLAYS CAPITAL INC.,Barclays PLC,BARC (LSE),4/1/98,Current,20269,12673
BARCLAYS DE ZOETE WEDD GSI,Barclays PLC,BARC (LSE),12/7/89,6/30/96,20269,12673
BARTOW LEEDS & CO.,Merrill Lynch & Co.,,5/19/60,6/14/62,21190,7267
"BEAR,STEARNS & CO., INC. ",JPMorgan Chase & Co. (Acquired by JPMorgan Chase),JPM (NYSE),6/10/81,10/1/08,20436,2968
BECKER,BNP Paribas Group,BNP (Euronext Paris),11/17/71,9/10/84,,15532
"BLYTH & CO., INC. ",,,4/16/62,1/14/70,,
BLYTH EASTMAN DILLON CAPITAL MARKETS,Paine Webber Incorporated,PWJ,12/5/74,12/31/79,21359,8299
BMO CAPITAL MARKETS CORP. ,Bank of Montreal,BMO (NYSE),10/4/11,Current,29146,15580
BMO NESBITT BURNS CORP.,Bank of Montreal,BMO (NYSE),2/15/00,3/31/02,29146,15580
BNP PARIBAS SECURITIES CORP.,BNP Paribas Group,BNP (Euronext Paris),9/15/00,Current,29146,15580
"BNY SECURITIES, INC.",Bank of New York Mellon Corporation,BK (NYSE),8/1/89,8/9/90,20265,2019
"BROPHY,GESTAL, KNIGHT AND CO., L.P.",,,5/8/87,6/19/88,,
BT ALEX. BROWN INCORPORATED ,Deutsche Bank AG,DB (XETRA),10/23/97,6/4/99,42291,15576
BT SECURITIES CORPORATION,Bankers Corp.,,7/10/89,10/22/97,10524,21060
BZW SECURITIES INC. ,Barclays PLC,BARC (LSE),7/1/96,3/31/98,20269,12673
C.F. CHILDS & CO.,,,5/19/60,6/29/65,,
CANTOR FITZGERALD & CO.,Cantor Fitzgerald & Company,BGCP,8/1/06,Current,17502,127377
CARROLL MCENTEE & MCGINLEY INC.,HSBC USA,HSBC (NYSE),9/29/76,5/6/94,35175,15509
"CHASE SECURITIES, INC",JPMorgan Chase & Co.,JPM (NYSE),7/15/70,4/30/01,20436,2968
CHEMICAL SECURITIES INC,CHEMICAL BANKING CORP,JPM (NYSE),5/19/60,3/31/96,20436,2968
CIBC WORLD MARKETS CORP. ,Canadian Imperial Bank of Commerce,CM (NYSE),3/27/96,2/8/07,,15581
CITIGROUP GLOBAL MARKETS INC.,Citigroup Inc.,C (NYSE),6/15/61,Current,20483,3243
CONTINENTAL BANK CORP,CONTINENTAL BANK CORP,,5/19/60,8/30/91,,3463
COUNTRYWIDE SECURITIES CORPORATION,Bank of America Corporation,BAC (NYSE),1/15/04,7/15/08,3151,7647
"COUNTY NATWEST GOV. SEC., INC.",NatWest Group plc (formerly RBS),NWG (LSE),9/29/88,1/13/89,28711,15634
CREDIT SUISSE SECURITIES (USA) LLC,Credit Suisse Group AG,CSGN (SIX Swiss Ex),10/12/93,Current,42125,28838
"CRT GOVERNMENT SECURITIES,INC. ",,,12/22/87,7/5/93,,
"D.W. RICH & CO., INC",,,5/19/60,12/31/69,,
DAIWA CAPITAL MARKETS AMERICA INC.,Daiwa Securities Group Inc.,DSEEY,12/11/86,Current,,15483
DEAN WITTER REYNOLDS INC.,Morgan Stanley,MS (NYSE),11/2/77,4/30/98,21224,12124
DEUTSCHE BANK SECURITIES INC.,Deutsche Bank AG,DBK (XETRA),12/13/90,Current,42291,15576
"DILLON, READ & CO., INC. ",UBS Group AG,UBSG (SIX Swiss Ex),6/24/88,9/2/97,37504,144496
DISCOUNT CORPORATION OF NEW YORK,The Bank of New York Company,,5/19/60,8/10/93,,
DLJ SECURITIES CORPORATION,Credit Suisse Group AG,CSGN (SIX Swiss Ex),3/6/74,12/31/00,42125,28838
DLJ SECURITIES CORPORATION,Credit Suisse Group AG,CSGN (SIX Swiss Ex),10/25/95,12/31/00,42125,28838
DRESDNER KLEINWORT SECURITIES LLC,Dresdner Bank AG (historical),,5/8/97,6/26/09,,15577
DREXEL BURNHAM LAMBERT ,"DREXEL BURNHAM LAMBERT GROUP, INC ",,5/19/60,3/28/90,,
EASTBRIDGE CAPITAL INC. ,EASTBRIDGE HOLDINGS INC.,,6/18/92,5/29/98,,
F.I. DUPONT & CO,,,12/12/68,7/18/73,,
FIRST CHICAGO,JPMorgan Chase & Co.,JPM (NYSE),5/19/60,3/31/99,20436,2968
FIRST INTERSTATE,First Interstate Bancorp,I.1,7/31/64,6/17/88,20720,4710
FIRST N/B OF BOSTON ,BANKBOSTON CORP,BKB.2,3/21/83,11/17/85,20264,2014
FIRST PENNCO SEC. INC.,FIRST PENNSYLVANIA CORPORATION,FPA,3/7/74,8/27/80,,4732
FUJI SECURITIES INC.,Mizuho Financial Group,,4/22/85,6/30/96,51429,248136
"GOLDMAN, SACHS & CO. ","Goldman Sachs Group, Inc.",GS,5/19/60,Current,35048,114628
"GREENWICH CAPITAL MARKETS, INC. ",GREENWICH CAPITAL GROUP,GGB.H,8/7/89,9/16/04,,184069
HARRIS GOVERNMENT SECURITIES,,,7/15/65,5/31/95,,
HSBC SECURITIES (USA) INC.,HSBC Holdings PLC,HSBA (LSE),5/9/94,Current,35175,15509
HUTTON,HUTTON E F GROUP INC,EFH,11/2/77,12/31/87,25422,5793
IRVING SECURITIES,IRVING BANK CORPORATION,V,5/19/60,7/31/89,24906,6186
J.P. MORGAN SECURITIES LLC,JPMorgan Chase & Co.,JPM (NYSE),5/19/60,Current,20436,2968
JEFFERIES LLC,Jefferies LLC,JEF (NYSE),6/18/09,Current,21097,6682
